GeneID,baseMean,log2FoldChange,lfcSE,pvalue,padj
MAP7D1,2721.076856550641,0.08426840165579283,0.06048510416882521,0.12995032083464045,0.30561574511920714
MAP7D3,935.1527035071516,-0.1012845280081781,0.11635088925609402,0.2677966545460623,0.4915115552573818
MAPK1,5295.20861231213,-0.07227097088617242,0.11292026987836966,0.42325380323361156,0.6445845725343099
MAPK11,442.17526762644957,-0.445134567867354,0.09780847729359685,7.081550956853959e-7,1.3278439692070907e-5
MAPK12,2213.045365758425,-0.29014097000461664,0.06608971664777046,3.1157651111209077e-6,5.086231987931751e-5
MAPK13,95.2985141258897,0.4966673491330287,0.33717237825329116,0.007984536075146036,0.03878291968355647
MAPK14,2626.9863390696823,-0.07981665443843196,0.07801235115965005,0.25415286247327135,0.47441867661677317
MAPK1IP1L,2469.4608967267695,-0.28052310955688586,0.09215924829717784,6.415055093283429e-4,0.005086425905074505
MAPK3,691.9281361248953,0.23345618564212348,0.1592111348014865,0.03969937074347355,0.13192276259832297
MAPK6,2841.5964904182224,-0.4543601034758156,0.10425347076544036,1.6724250319140965e-6,2.8886920883185666e-5
MAPK7,293.14506635594904,-0.38979071568692797,0.14034741971278838,7.808301811987776e-4,0.005967568728770095
MAPK8,1263.0208617058872,-0.11583998980159341,0.11149444565588651,0.2007657545681993,0.4080668527095822
MAPK8IP1,21.945496132186598,0.07279640681097015,0.1876959167272766,0.2863848755774524,0.5107226826942269
MAPK8IP2,98.1436694045456,0.4389993084588867,0.21068176254135768,0.0036769854179108633,0.021317638764564002
MAPK8IP3,1886.7127523499341,0.06256104871430858,0.11338319102255202,0.47473844810413607,0.6886208369390809
MAPK9,1320.1946854562227,-0.2276597376520002,0.09494048528812421,0.005813231834056766,0.0304767586665411
MAPKAP1,2613.0534724202275,-0.11056447727643957,0.09785177465221385,0.1845015675575743,0.3858203129573855
MAPKAPK2,3418.963050898783,0.008959150020244364,0.16958581236094666,0.8957017053003553,0.9491428405016988
MAPKAPK3,4250.968151933294,-0.1610210015468531,0.054373774963034985,0.002219129197985381,0.014017443310289044
MAPKAPK5,1591.6027287073853,-0.11319462971875127,0.08473820909507086,0.1302418200505842,0.3058405131236735
MAPKBP1,623.179385144768,0.033228070801226646,0.10208481384748404,0.6912752015342691,0.8411424258754705
MAPRE1,7137.517273605139,-0.1042580932360448,0.044638932165968696,0.015752699622835334,0.06585862500501093
MAPRE2,1684.0620471787106,0.01659103459810115,0.11114941150810526,0.8120339111211485,0.9081747700233658
MAPRE3,40.064926289825635,0.015812531084199798,0.16308796332668046,0.8365265520004108,0.9211307275708607
MAPT,18.832771424405,-0.05052316288855886,0.18574165706418322,0.31793066776976886,0.5451165409717182
